source,target,source_type,target_type,mu_forward,mu_backward,abs_diff,rel_diff,forward_dominant
RIB,SIB,interneuron,motor,2.348366515319311,0.5455054591354247,1.8028610561838865,0.6229926797163453,True
RIB,AVA,interneuron,interneuron,3.322964957137899,1.6443359577836234,1.6786289993542756,0.3379358384103457,True
RIB,AVB,interneuron,interneuron,2.2098298759656685,0.6058759902936944,1.6039538856719742,0.5696453968559743,True
SIB,RIB,motor,interneuron,1.889991408905333,0.4335307624408708,1.456460646464462,0.6268331175673412,True
AVB,RIB,interneuron,interneuron,1.8769560746495986,0.5165477011190145,1.360408373530584,0.5683752778024701,True
RIB,RIM,interneuron,interneuron,2.1030523927521636,0.8103163092904603,1.2927360834617034,0.4437255341251406,True
AVA,RIB,interneuron,interneuron,2.1959864756416776,1.313417911876645,0.8825685637650327,0.25148671007503726,True
RIB,RID,interneuron,interneuron,1.073655068777393,0.33462500712943954,0.7390300616479534,0.524774918170729,True
RID,RIB,interneuron,interneuron,1.0684621434233543,0.3422260118276746,0.7262361315956798,0.5148098315286178,True
RIB,RME,interneuron,motor,0.9980933349823631,0.5048180062067238,0.4932753287756393,0.32821319210522687,True
RIM,AVA,interneuron,interneuron,1.6244634356407615,1.2158645316950552,0.4085989039457063,0.1438562407687659,True
AVA,RIM,interneuron,interneuron,1.5769383147497573,1.1793279674069876,0.3976103473427697,0.14425687020965866,True
AVB,AVA,interneuron,interneuron,0.6477726743511991,0.2842098597243801,0.363562814626819,0.39009616735835334,True
AVB,SIB,interneuron,motor,0.41803671298288436,0.09300977199271594,0.32502694099016843,0.6360026934576928,True
SIB,AVB,motor,interneuron,0.3900816502212437,0.08428850364623768,0.305793146575006,0.6446298191769638,True
AVB,RIM,interneuron,interneuron,0.417716945466169,0.14355792497222197,0.274159020493947,0.4884576789104522,True
RIB,AVE,interneuron,interneuron,0.6779970308071902,0.4094245002546467,0.2685725305525435,0.2469810674666261,True
AVH,RIB,interneuron,interneuron,0.3996283651333242,0.15000710664347727,0.24962125848984695,0.45415783962684003,True
AVA,AVB,interneuron,interneuron,0.5080504376434021,0.2616725241993813,0.24637791344402077,0.3200864799747718,True
RME,RIB,motor,interneuron,0.598773498196616,0.3688737436371548,0.22989975455946116,0.237586327534013,True
AVJ,RIB,interneuron,interneuron,0.3520345666563931,0.13983378491344,0.2122007817429531,0.43141783979911963,True
RID,AVA,interneuron,interneuron,0.3917184570566568,0.18806469635893863,0.20365376069771818,0.3512584997732952,True
RIM,AVB,interneuron,interneuron,0.3348587145312357,0.13677650721598522,0.1980822073152505,0.4199902766791582,True
AWA,BAG,sensory,sensory,0.2164020283084806,0.02208799604416706,0.19431403226431354,0.8147679665440041,True
RID,AVB,interneuron,interneuron,0.24806248322503666,0.0673188506938954,0.18074363253114126,0.5730955292372863,True
AVD,RIB,interneuron,interneuron,0.1930255174482747,0.027727797690349647,0.16529771975792507,0.7487892971357902,True
ASK,ASH,sensory,sensory,0.07342156630030264,0.2334767413539255,0.16005517505362285,0.5215251143769716,False
ASH,ASK,sensory,sensory,0.07569341794157627,0.23573052472242798,0.1600371067808517,0.5138882558626109,False
RID,RIM,interneuron,interneuron,0.25771392641168167,0.10148018442896974,0.15623374198271195,0.434956301409201,True
AVB,RID,interneuron,interneuron,0.20547749431389845,0.05534037261214309,0.15013712170175536,0.5756397113958639,True
BAG,AWA,sensory,sensory,0.16861173969460255,0.018822991992488734,0.1497887477021138,0.7991515034271243,True
RIB,RMH,interneuron,motor,0.17940004031338722,0.04464708646990517,0.13475295384348204,0.6014491491947395,True
RMH,RIB,motor,interneuron,0.17542123098376153,0.0479122138100336,0.12750901717372792,0.5709356125965104,True
AVA,RME,interneuron,motor,0.45601816470645545,0.3326677891344058,0.12335037557204964,0.1563998635397264,True
RME,AVA,motor,interneuron,0.41071221426397847,0.2877716228954868,0.12294059136849167,0.17601064593112842,True
AVB,RME,interneuron,motor,0.20372933137192742,0.08596273687471018,0.11776659449721724,0.40652336520412063,True
RIM,RME,interneuron,motor,0.30082325691318273,0.19031027337146283,0.1105129835417199,0.22501616506445493,True
RME,RIM,motor,interneuron,0.27364333393482837,0.16472032045734838,0.10892301347747999,0.2484763788267576,True
PVC,ASH,interneuron,sensory,0.06294970390288977,0.16373009035044908,0.10078038644755931,0.4445936027737308,False
LUA,ASH,interneuron,sensory,0.04870528225891683,0.13656888777758,0.08786360551866318,0.4742355907136517,False
AIB,AVA,interneuron,interneuron,0.3160961496926459,0.2309055545810017,0.08519059511164417,0.15574100488259526,True
ASH,ADL,sensory,unknown,0.17044204853201142,0.2507197831923569,0.08027773466034546,0.19061018495575036,False
ADL,ASH,unknown,sensory,0.14653978177757815,0.22041968811217094,0.0738799063345928,0.20132988075401517,False
RME,AVB,motor,interneuron,0.139219184731228,0.0702719557935187,0.06894722893770928,0.32911763586800913,True
ASK,ADL,sensory,unknown,0.12508303369570667,0.1931400352161808,0.06805700152047414,0.21386570663087856,False
AVA,AIB,interneuron,interneuron,0.313195291033866,0.24538451467402136,0.06781077635984464,0.12139854619657847,True
AVH,AVB,interneuron,interneuron,0.0895382766248753,0.024556707813741502,0.0649815688111338,0.5695392227266574,True
AVB,AVE,interneuron,interneuron,0.13236962575360703,0.06810311414551413,0.0642665116080929,0.3205748153508283,True
PHB,ASH,sensory,sensory,0.019109535797463252,0.08318394480266171,0.06407440900519845,0.6263782263215155,False
AVJ,AVB,interneuron,interneuron,0.08720691453969902,0.028000271314861196,0.05920664322483782,0.5139144987725851,True
AWC,AIB,sensory,interneuron,0.07641752619994384,0.017605877730596426,0.058811648469347416,0.6255000983610898,True
RID,RME,interneuron,motor,0.11605249899078944,0.05812424414386818,0.05792825484692126,0.3325831782770107,True
RIM,AVE,interneuron,interneuron,0.35740468800809055,0.3008673347590689,0.05653735324902165,0.08588752261226054,True
AVE,RIM,interneuron,interneuron,0.33795227338864836,0.281986319144809,0.05596595424383938,0.09027660950433782,True
OLQ,AVA,sensory,interneuron,0.19499530137515605,0.13929122678267936,0.0557040745924767,0.16663571482459533,True
LUA,ASK,interneuron,sensory,0.056520520936078796,0.11066195203465616,0.054141431098577365,0.3238463345118128,False
PHA,ASK,sensory,sensory,0.03270431607189587,0.0864138767492346,0.05370956067733874,0.4508930110524801,False
PVC,ASK,interneuron,sensory,0.06479062357677935,0.1184588864171885,0.05366826284040915,0.29286988441545514,False
ADL,ASK,unknown,sensory,0.11434556654224867,0.16760488141420204,0.05325931487195337,0.1888960107674312,False
PLN,ASH,sensory,sensory,0.036818019840445325,0.08953500076445815,0.05271698092401283,0.4172197912635024,False
AIB,RIM,interneuron,interneuron,0.16913678330104184,0.11819962209814609,0.05093716120289575,0.1772736076182303,True
AVB,AVJ,interneuron,interneuron,0.07252907519201905,0.02252769327573692,0.05000138191628213,0.5260160077989755,True
PHA,ADL,sensory,unknown,0.058021088612466895,0.10724719724016132,0.04922610862769443,0.2978557461520741,False
RMH,SIB,motor,motor,0.053534794465979724,0.005622905662306253,0.04791188880367347,0.8099011391380055,True
RIM,OLQ,interneuron,sensory,0.1058284699917684,0.05992857932272758,0.045899890669040815,0.27691064018799266,True
RID,AVE,interneuron,interneuron,0.09768887917879486,0.05192319768353286,0.045765681495262,0.3058956363982955,True
RIM,AIB,interneuron,interneuron,0.17923112778992964,0.13568357650541554,0.0435475512845141,0.13828363895591336,True
AIB,AWC,interneuron,sensory,0.06285815962702515,0.020464120083182984,0.04239403954384217,0.5087959623813403,True
SIB,RMH,motor,motor,0.044664746882751155,0.00403201768948977,0.040632729193261385,0.8344030546329835,True
AVA,OLQ,interneuron,sensory,0.21114141071888012,0.17065696843655473,0.040484442282325395,0.10603618161312324,True
ASG,ASK,sensory,sensory,0.03650258242609894,0.07548471776902135,0.038982135342922414,0.34809425033189245,False
AVD,AVB,interneuron,interneuron,0.04051756209474435,0.0044289374839207715,0.03608862461082358,0.802924028986263,True
ASG,ASH,sensory,sensory,0.11374411159864407,0.1439872488092806,0.030243137210636525,0.1173436447587705,False
AFD,AVA,sensory,interneuron,0.09681537690496222,0.1260442724868606,0.029228895581898368,0.1311538255065363,False
PLN,ASK,sensory,sensory,0.03922628052901293,0.06747598504372089,0.028249704514707957,0.26475262110509007,False
RMH,AVB,motor,interneuron,0.035886216418556154,0.007774001022288018,0.028112215396268136,0.6438862877851934,True
PHB,ASK,sensory,sensory,0.03792764972607065,0.0657230474525359,0.027795397726465255,0.2681641171380929,False
ASK,ASG,sensory,sensory,0.038914434209822525,0.06589980462184082,0.026985370412018296,0.25745901212536765,False
AVF,ASK,interneuron,sensory,0.02432306384939618,0.05070126667065903,0.02637820282126285,0.3515953105246571,False
AVA,URY,interneuron,sensory,0.23967884999883593,0.26564041099229563,0.025961560993459698,0.051376551405147554,False
ADF,ASH,sensory,sensory,0.016142853512334528,0.03775541489382024,0.021612561381485713,0.4009880461933156,False
BAG,RIR,sensory,unknown,0.032328354698417855,0.011376509538871208,0.020951845159546647,0.4793938953305593,True
PVW,ASH,interneuron,sensory,0.010844150840850943,0.03154511369170375,0.020700962850852808,0.48835390352477587,False
PHC,ASK,sensory,sensory,0.019409549157232073,0.03973795826258848,0.02032840910535641,0.3436900379706496,False
AFD,AVE,sensory,interneuron,0.026208176370794194,0.04595753105571563,0.019749354684921436,0.2736667506192824,False
AVE,URY,interneuron,sensory,0.06045028135122494,0.07914523995639164,0.0186949586051667,0.13392233802815015,False
ASK,ADA,sensory,interneuron,0.016664806267567542,0.0350911843720277,0.018426378104460156,0.3560240629373808,False
ASH,ADA,sensory,interneuron,0.027965509564390152,0.046237706625052666,0.018272197060662514,0.24624535127141348,False
AVA,AFD,interneuron,sensory,0.10670341005291399,0.12491350737770451,0.018210097324790522,0.07862162021210409,False
AVJ,ASK,interneuron,sensory,0.012497142022828863,0.029968547099428613,0.01747140507659975,0.4114240318850751,False
AVJ,ASH,interneuron,sensory,0.08154523773664195,0.06452291720574443,0.017022320530897514,0.11653683532839815,True
RIP,ASK,interneuron,sensory,0.024685955950508487,0.041642157623713566,0.01695620167320508,0.2556412467341882,False
AVD,AVJ,interneuron,interneuron,0.03142433283451515,0.014519572421972233,0.016904760412542918,0.3679434798016344,True
ASH,AVJ,sensory,interneuron,0.07510146537561549,0.05837717830915713,0.016724287066458357,0.12529560229444195,True
PHB,ADL,sensory,unknown,0.057773835126550856,0.07429612202334103,0.016522286896790174,0.12510253838825786,False
OLQ,URY,sensory,sensory,0.03202096313303733,0.04843445524570448,0.016413492112667148,0.20400729277175997,False
ADF,ADL,sensory,unknown,0.005553028666761537,0.021861160427880975,0.01630813176111944,0.5948792300706269,False
AVE,AFD,interneuron,sensory,0.02904266986551589,0.04497749689334726,0.01593482702783137,0.215276832031666,False
ASG,ADF,sensory,sensory,0.006595750324217774,0.02213109684475416,0.015535346520536383,0.5407953881982802,False
ASH,ADF,sensory,sensory,0.014644003474945383,0.030133911681249632,0.01548990820630425,0.34592740902919156,False
AVJ,AVD,interneuron,interneuron,0.0296893463918155,0.014514821980037182,0.015174524411778316,0.34328265718742795,True
LUA,ADA,interneuron,interneuron,0.023942635596809425,0.03875623653398607,0.014813600937176645,0.23626582759969839,False
ADF,ASG,sensory,sensory,0.00948871531984493,0.024120264339759768,0.014631549019914838,0.4353464200511313,False
ASH,ASG,sensory,sensory,0.104686498563464,0.11929582496033522,0.014609326396871222,0.06522535421772413,False
ADL,ADF,unknown,sensory,0.002892033242616162,0.016913994743629354,0.014021961501013192,0.7079643348961459,False
URY,OLQ,sensory,sensory,0.028742139855647986,0.042656191573936325,0.013914051718288339,0.19487922785034512,False
ADF,ASK,sensory,sensory,0.009987425534654646,0.023871120207077542,0.013883694672422895,0.4100499394545945,False
AVA,URA,interneuron,sensory,0.027890412848145744,0.014812796335723568,0.013077616512422176,0.3062443486504446,True
ADL,ADA,unknown,interneuron,0.023075817301798647,0.03604807248141921,0.012972255179620563,0.21940801265348917,False
AVD,ASH,interneuron,sensory,0.03478127837714449,0.022206089201906306,0.012575189175238182,0.2206662579338783,True
ASG,AWB,sensory,sensory,0.010715828935389188,0.02314794968002153,0.012432120744632342,0.36712148544057,False
ASH,AVD,sensory,interneuron,0.03159138952574805,0.01919830053604609,0.012393088989701956,0.24400796599118635,True
LUA,ADL,interneuron,unknown,0.10167545312272186,0.1135845063735421,0.011909053250820242,0.055324052244349366,False
URX,ASH,sensory,sensory,0.006243557506581242,0.017969542000057966,0.011725984493476723,0.48428266863699965,False
PVW,ASK,interneuron,sensory,0.009230247309560251,0.02064949493734968,0.01141924762778943,0.3821735641227968,False
AVH,ASH,interneuron,sensory,0.06625342693366326,0.07755841992742808,0.01130499299376482,0.07860960854513895,False
RMD,AVA,motor,interneuron,0.07216585355352396,0.08338674750200101,0.011220893948477043,0.07213568828243598,False
AIB,URY,interneuron,sensory,0.025788373558492724,0.0358443288591842,0.010055955300691474,0.16315940872148707,False
ASK,ADF,sensory,sensory,0.00854007859231796,0.01857892587910057,0.01003884728678261,0.3701775727182416,False
AUA,ASK,unknown,sensory,0.0071288498191195045,0.016803214765688232,0.009674364946568727,0.40424280453788386,False
RMD,URY,motor,sensory,0.007427404067253649,0.017083386636034998,0.009655982568781349,0.3939482265698988,False
AWB,ASG,sensory,sensory,0.016816162303831143,0.026239385494235566,0.009423223190404423,0.2188619968955858,False
AVA,AVE,interneuron,interneuron,0.6043239781836517,0.6132152728880708,0.008891294704419073,0.007302676029427686,False
AVA,IL1,interneuron,sensory,0.02731062514253568,0.01857574265495685,0.00873488248757883,0.19035898650972002,True
RIM,RMD,interneuron,motor,0.0499610708235242,0.041919079864304834,0.008041990959219363,0.08752696736197184,True
ADL,AVJ,unknown,interneuron,0.05017437963931317,0.04241809909303223,0.0077562805462809414,0.0837679328180102,True
AIB,AVE,interneuron,interneuron,0.06870277624040658,0.061367374323253863,0.007335401917152713,0.05639573629864418,True
PVC,ADL,interneuron,unknown,0.10734753230165467,0.11463953385167153,0.007292001550016858,0.03284876760205211,False
URY,AVE,sensory,interneuron,0.045509594686193346,0.05276316864482544,0.007253573958632097,0.07381062367014482,False
ADE,ASK,sensory,sensory,0.00726207857493039,0.014361487010290556,0.007099408435360166,0.3283181200874931,False
RMD,AVE,motor,interneuron,0.019935392347167315,0.02701074202957191,0.007075349682404596,0.15071208228891084,False
CEP,ASK,sensory,sensory,0.008512914776228914,0.015397515854615143,0.006884601078386229,0.2879329592965135,False
RIP,OLL,interneuron,unknown,0.005290842634145237,0.012159684005771191,0.0068688413716259545,0.3936179964077606,False
OLL,RIP,unknown,interneuron,0.005704710632192159,0.012517355025402441,0.0068126443932102826,0.3738678415410122,False
RIM,ADF,interneuron,sensory,0.031094064158845247,0.03789313917068119,0.006799075011835944,0.09855559689097282,False
RIP,RMD,interneuron,motor,0.005037579786429294,0.01169698515999191,0.006659405373562617,0.39794314074429876,False
ADF,AIB,sensory,interneuron,0.008169477775440201,0.014781815863195392,0.006612338087755191,0.2881030656944692,False
SMB,ADL,motor,unknown,0.009409263134042067,0.015996729403637,0.006587466269594933,0.25928789177972156,False
URB,ASH,sensory,sensory,0.005392991317043756,0.011873162832147238,0.006480171515103482,0.37531064657360574,False
SAA,AVJ,motor,interneuron,0.011930779460905191,0.005469684454561159,0.006461095006344032,0.37131739708786543,True
SAA,ASH,motor,sensory,0.02189755325109697,0.015492781363915027,0.006404771887181943,0.1712948529613046,True
URY,RMD,sensory,motor,0.009376931986129856,0.01569622084499764,0.006319288858867785,0.2520340731070401,False
URY,AIB,sensory,interneuron,0.023294821803291545,0.02958039452950455,0.006285572726213006,0.11887559333590454,False
SMD,RIV,motor,motor,0.00988970622684338,0.01606268626546907,0.006172980038625689,0.23785783976057115,False
RMD,RIP,motor,interneuron,0.005743829967985424,0.01188781863172112,0.006143988663735695,0.3484636501314794,False
AIB,ASH,interneuron,sensory,0.031942883608978144,0.03806654963347645,0.006123666024498306,0.08746915568569298,False
OLQ,AIB,sensory,interneuron,0.028697012054571976,0.022635892784187667,0.006061119270384309,0.11807473739534607,True
IL1,ASH,sensory,sensory,0.007331209612437057,0.013342304636310386,0.006011095023873329,0.2907630953533319,False
ASH,AIB,sensory,interneuron,0.018548868141738093,0.024464840480001363,0.00591597233826327,0.13753690425846243,False
RMD,ASG,motor,sensory,0.010206291029256815,0.015960924217771906,0.005754633188515091,0.21991767607662263,False
AVE,AIB,interneuron,interneuron,0.07281413985668697,0.06718190233189006,0.0056322375247969125,0.04023140535063879,True
AIA,AVJ,interneuron,interneuron,0.016402920891425733,0.02199402466709262,0.005591103775666888,0.14561324292278707,False
SIA,ASH,motor,sensory,0.013674062329826497,0.019258559729108178,0.005584497399281681,0.16957342091773273,False
AVA,URB,interneuron,sensory,0.017301714261346992,0.011733969810730742,0.00556774445061625,0.19175523530354732,True
AVJ,AUA,interneuron,unknown,0.012414310748421035,0.006863867665053904,0.00555044308336713,0.28791325277372637,True
PLN,ADL,sensory,unknown,0.05735417949740192,0.06288444773254386,0.005530268235141932,0.04599410653588361,False
AVD,ADL,interneuron,unknown,0.021287250156183782,0.015759807311305763,0.005527442844878019,0.14920058994721885,True
ASK,URX,sensory,sensory,0.007257075843562498,0.012724000796741157,0.005466924953178659,0.27360512269848664,False
AVJ,RMH,interneuron,motor,0.01824926934613997,0.01278974724560611,0.005459522100533859,0.1758922376553784,True
SIA,ASK,motor,sensory,0.006715281216542118,0.01214533316544224,0.005430051948900122,0.28790429676015605,False
AVE,AVA,interneuron,interneuron,0.602316060903866,0.607735767143447,0.00541970623958099,0.004478904220060555,False
OLQ,AVE,sensory,interneuron,0.04905093443782677,0.043643206055769025,0.005407728382057747,0.058339484539450655,True
ASG,IL1,sensory,sensory,0.0021951121077671684,0.007589505773427216,0.005394393665660048,0.5513136717271785,False
IL1,ASG,sensory,sensory,0.004013421589932309,0.009401179231782455,0.005387757641850146,0.401633837137023,False
AVA,RMD,interneuron,motor,0.10397214537960456,0.098592202936246,0.005379942443358557,0.026559177295670547,True
OLQ,RIP,sensory,interneuron,0.01151672885916234,0.016884700643560006,0.005367971784397666,0.18900357691442166,False
AVA,ADF,interneuron,sensory,0.05915766746802348,0.053801061873091256,0.005356605594932222,0.047420908693246375,True
AUA,AVJ,unknown,interneuron,0.01256191237289877,0.0072777775646295775,0.005284134808269193,0.2663416010166405,True
URX,ASK,sensory,sensory,0.010192087554791703,0.015372753779751752,0.005180666224960049,0.2026480875394707,False
